what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1331340314589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340315433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340322339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340324167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340530542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340551683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340554027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340555464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340559902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340562120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340567058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340569323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340582792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340589402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340592933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340594089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340605823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340607323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340614277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340615527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340788230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340818855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331340861870
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331340861886
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1331340868073
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1331340886589
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1331340903261
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1331340903980
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1331340904730
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1331341036855
